pin,name,type,reset,pull,drive_mA,supply,group
1,PG6,I/O,Z,PU/PD,4,VCC-PG,GPIOG
2,PG7,I/O,Z,PU/PD,4,VCC-PG,GPIOG
3,PG8,I/O,Z,PU/PD,4,VCC-PG,GPIOG
4,PG9,I/O,Z,PU/PD,4,VCC-PG,GPIOG
5,PG10,I/O,Z,PU/PD,4,VCC-PG,GPIOG
6,PG11,I/O,Z,PU/PD,4,VCC-PG,GPIOG
7,PF0,I/O,Z,PU/PD,4,VCC-IO,GPIOF
8,PF1,I/O,Z,PU/PD,4,VCC-IO,GPIOF
9,PF2,I/O,Z,PU/PD,4,VCC-IO,GPIOF
10,PF3,I/O,Z,PU/PD,4,VCC-IO,GPIOF
11,PF4,I/O,Z,PU/PD,4,VCC-IO,GPIOF
12,PF5,I/O,Z,PU/PD,4,VCC-IO,GPIOF
13,PF6,I/O,Z,PU/PD,4,VCC-IO,GPIOF
14,PC7,I/O,Z,PU/PD,4,VCC-IO,GPIOC
15,PC6,I/O,Z,PU/PD,4,VCC-IO,GPIOC
16,PC5,I/O,PU,PU/PD,4,VCC-IO,GPIOC
17,PC4,I/O,PU,PU/PD,4,VCC-IO,GPIOC
18,PC3,I/O,PU,PU/PD,4,VCC-IO,GPIOC
19,PC2,I/O,Z,PU/PD,4,VCC-IO,GPIOC
20,VCC-PLL,P,NA,NA,NA,NA,RTC & PLL
21,REFCLK-OUT,AO,NA,NA,NA,VCC-PLL,DCXO
22,DXOUT,AO,NA,NA,NA,VCC-PLL,DCXO
23,DXIN,AI,NA,NA,NA,VCC-PLL,DCXO
24,X32KOUT,AO,NA,NA,NA,VCC-RTC,RTC & PLL
25,X32KIN,AI,NA,NA,NA,VCC-RTC,RTC & PLL
26,VCC-RTC,P,NA,NA,NA,NA,RTC & PLL
27,RESET,"I, OD",NA,NA,NA,VCC-RTC,System
28,LDOA-OUT,P,NA,NA,NA,NA,Power
29,LDO-IN,P,NA,NA,NA,NA,Power
30,LDOB-OUT,P,NA,NA,NA,NA,Power
31,PE13,I/O,Z,PU/PD,4,VCC-PE,GPIOE
32,PE12,I/O,Z,PU/PD,4,VCC-PE,GPIOE
33,PE3,I/O,Z,PU/PD,4,VCC-PE,GPIOE
34,VCC-PE,P,NA,NA,NA,NA,GPIOE
35,PE2,I/O,Z,PU/PD,4,VCC-PE,GPIOE
36,PE11,I/O,Z,PU/PD,4,VCC-PE,GPIOE
37,PE10,I/O,Z,PU/PD,4,VCC-PE,GPIOE
38,PE9,I/O,Z,PU/PD,4,VCC-PE,GPIOE
39,PE8,I/O,Z,PU/PD,4,VCC-PE,GPIOE
40,PE7,I/O,Z,PU/PD,4,VCC-PE,GPIOE
41,PE6,I/O,Z,PU/PD,4,VCC-PE,GPIOE
42,PE5,I/O,Z,PU/PD,4,VCC-PE,GPIOE
43,PE4,I/O,Z,PU/PD,4,VCC-PE,GPIOE
44,PE0,I/O,Z,PU/PD,4,VCC-PE,GPIOE
45,PE1,I/O,Z,PU/PD,4,VCC-PE,GPIOE
46,VDD-SYS0,P,NA,NA,NA,NA,Power
47,DZQ,AI,NA,NA,NA,NA,SDRAM
48,VCC-DRAM0,P,NA,NA,NA,NA,SDRAM
49,VCC-DRAM1,P,NA,NA,NA,NA,SDRAM
50,VDD18-DRAM,P,NA,NA,NA,NA,SDRAM
51,VDD-SYS1,P,NA,NA,NA,NA,Power
52,PD22,I/O,Z,PU/PD,4,VCC-PD,GPIOD
53,PD21,I/O,Z,PU/PD,4,VCC-PD,GPIOD
54,PD20,I/O,Z,PU/PD,4,VCC-PD,GPIOD
55,PD0,I/O,Z,PU/PD,4,VCC-PD,GPIOD
56,PD1,I/O,Z,PU/PD,4,VCC-PD,GPIOD
57,PD2,I/O,Z,PU/PD,4,VCC-PD,GPIOD
58,PD3,I/O,Z,PU/PD,4,VCC-PD,GPIOD
59,PD4,I/O,Z,PU/PD,4,VCC-PD,GPIOD
60,PD5,I/O,Z,PU/PD,4,VCC-PD,GPIOD
61,PD6,I/O,Z,PU/PD,4,VCC-PD,GPIOD
62,PD7,I/O,Z,PU/PD,4,VCC-PD,GPIOD
63,PD8,I/O,Z,PU/PD,4,VCC-PD,GPIOD
64,PD9,I/O,Z,PU/PD,4,VCC-PD,GPIOD
65,VCC-LVDS,P,NA,NA,NA,NA,GPIOD
66,VCC-PD,P,NA,NA,NA,NA,GPIOD
67,PD10,I/O,Z,PU/PD,4,VCC-PD,GPIOD
68,PD11,I/O,Z,PU/PD,4,VCC-PD,GPIOD
69,PD13,I/O,Z,PU/PD,4,VCC-PD,GPIOD
70,PD12,I/O,Z,PU/PD,4,VCC-PD,GPIOD
71,PD14,I/O,Z,PU/PD,4,VCC-PD,GPIOD
72,PD15,I/O,Z,PU/PD,4,VCC-PD,GPIOD
73,PD16,I/O,Z,PU/PD,4,VCC-PD,GPIOD
74,PD17,I/O,Z,PU/PD,4,VCC-PD,GPIOD
75,PD18,I/O,Z,PU/PD,4,VCC-PD,GPIOD
76,PD19,I/O,Z,PU/PD,4,VCC-PD,GPIOD
77,VCC-TVOUT,P,NA,NA,NA,NA,CVBS OUT
78,TVOUT0,AO,NA,NA,NA,VCC-TVOUT,CVBS OUT
